текст,inf_gender1,inf_gender2,inf_gender3,inf_gender4,sob_gender1,sob_gender2,sob_gender3,sob_gender4,mean_ul,mean_sl
"[На свадьбу] стряпня красивая вышла, там пироги, - знать хорошо будут жить [молодые]",m,,,,m,m,,,9.0,9.0
"Как дождь во время свадьбы, наверно эти молодые будут хорошо жить.",f,,,,m,m,,,11.0,11.0
"[Было гадание, когда мусор выметали и в подол клали?] Это клали... клали, наверно... я тоже слыхала: этот мусор, когда свадьба. Вот когда свадьба, дак оне это сходят, мусор опашут да и... в подол-от сперва складут, а потом этот мусор в носовичцёк завяжут этот мусор [...] и пойдут на свадьбу, и бросят в воду - там вода у них где-ка есть, дак в воду. [В ведро?] Вот, в ведро. Во, в ведро, дак они худо жить будут. [Молодые?] Молоды худо жить будут. Ну, если там-от мужик гулял-гулял с какой, опя*ть новую полюбил да ту и взамуж взял, а старой-то жалко. Вот, а та и пойдёт гадать - ну вот, у них всё и роспадетца опеть. Вот так дак гадали. [Где мусор мели?] В байне. В байне там опашут и камелёнку да и и пол опашут, а потом и складут.",f,,,,m,f,,,20.666666666666668,8.857142857142858
"Когда вот молодые приедут от венца, молодую начинают раньше называли крутили - волосы перечесывали, заплетали на две косы, завязывали там, чтобы не одна коса была, раньше за одну косу женщину строго предупреждали, чтоб не плела одной косы, а плела всегда две косы. Коса одна только должна быть у девушки, а у замужней должно быть две и там завязана.",f,,,,f,m,,,57.0,28.5
"Перед Новым Годом [бесчинствовали:] чего под руку попадёт, в колодец чево опустят, там сани или что-нибудь на крышу даже [нрзб.]. [Кто так делал?] Вот молодёш-то. Блажили. Иногда заложат в скобу [в дверную ручку] жердину или батог с той стороны. Или дров накидают.",f,,,,m,m,,,6.666666666666667,3.3333333333333335
"На какой день - не помню, - а плели [девки венки]. А потом бросали [в воду].",m,,,,m,m,,,10.0,5.0
[В бане] баённый.,m,,,,m,f,,,2.0,2.0
"[Эпилепсия] это припадки [называлось]. А вот если первый раз [припадок] над ним, што это случица, дак я слыхала-та, завёртывают ево, [...] накидывали эту скатерть на стол, и вот в эту скатерть ево завёртывают, там, голову, там. И вот несколько раз через нево шагать. Опять што-то надо говорить штобы, он был спокойнее [шагали]. И потом у нево, говорят, шо это постепено всё прекратица.",f,,,,f,f,,,20.5,10.25
"А эпилепсию как лечили? Ну, заговорами тоже лечили. Шагали через ребёнка, который болеет, мать шагала. Положит она ево, вот встанет над ним, и так правой ногой вперёд ему глядит, вот так он положено, она встанет, перешагнёт ево, и над ним и стоит и приговаривает: ""Я тебя родила я, и исцелила, и на Божий свет тебя я попустила. Отныне во веку, во веке по веку"". Ищо не знаю чево-то и Аминь. И с этими словами аминь она и перешагивает, обойдёт опять кругом с той стороны о голову, где у нево голова, опять шагает, и вот так три раза. И на день она не один раз сделает это, и ребёнок поправляеца. Если,например, припадок был, дак в любое время можно было делать. [...] От грыжи так же лечили, так же лечили от грыжи.",f,,,,f,f,,,67.5,13.5
"У нас праздник такая была Троица. Со всех деревень собирались на мосту. Раньше мост такой высокий был. Лет мне было двенадцать-тринадцать. У меня зуб болел, и так болел. И мы с братом идём, а я 42 года, а он 46-го. Тётки навстречу. А я плачу, и брат плачет. Тётки спрашивают: ""Вы что ре*бята ревите?"" Да так, мол, и так. ""Да вы зайдите в эту избушку"". Зашёл я в эту избушку. Огромная печь, стол, зыбка, лавка и бабка. Кого там внука или внучку качает. Я зашёл: ""Баушка, у меня зуб болит"". Она говорит: ""Садись на лавочку"". Я сел. Она говорит: ""Давай. что у тебя в карманах есть?"" Я говорю: у меня вот две сушки"". ""Одну, - говорит, - положи, - и вторую мне дай"". Взяла она эту сушку, пошла за печку. Чево она там говорила? Не знаю. Пришла, половинку разломала, положила на то место, где зуб болел. Ме*ня вот как я сидел и меня спать, спать, спать потянуло. Брат побежал на улицу бегать, а сколько я спал, не знаю. Часа два-три я, наверное, спал. Вот, представляете, как укол мне сделали. Онемело у меня всё.[...] "" Иди, - говорит, - домой. Сними эту половинку. Приди домой, положь вторую половинку сушки. Если у тебя кровь пойдёт или носом, или как, то у тебя зубы болеть не будут"". Сколько я спал дома, не знаю. Мать меня будит: ""Сынок, сынок, ты весь в крови"". У меня зубы не болели до пятидесяти.",m,,,,f,f,,,118.5,6.405405405405405
"[Молочные зубы] тожо на печку: 
""Печка, печка, на тебе гнилой, дай мне костяной"".
Самим надо бросать.",f,,,,m,m,,,14.0,7.0
"Кровь останавливала она заговорами какими-то всегда. Раны какие, порезы она засыпала сахарным песком. Заговорит, сахарным песком засыплёт, и кровь сразу останавливается.",f,,,,f,f,,,22.0,7.333333333333333
"У нас вот старуха знала зубы заговаривать. А вот у меня зубы болели, терпения не было, я и ушла, сходила. Ну и она там чо-то пошептала мне, это намазала щёки посным маслом. ""Это, вались, - грит, - на печць. На печць вались"". Я легла да уснула, дак не помнила ничово. Встала. ""Поди, - говорит, - домой, только кто встречу попадёт, ничё не говори. Ничё"", - грит. После тово и ничово не стало.",f,,,,m,f,,,69.0,6.9
"[ЛНА читала по тетрадке собственные записи, сделанные ею в молодости, когда она работала учительницей в местной школе]
Заговор зубов. Стану я раба Божья Анна благословясь, пойду перекрестясь, из ворота в ворота, выйду в чисто поле, в чистом поле стоит млада ограда, в этой младой ограде лежит младой покойник. У младого покойника не болят зубы, не терпнут скулы, не точит черви, не шчемит клыка, век и вовеки отныни до веку, во веки веков, Аминь.",f,,,,f,f,,,56.0,18.666666666666668
"А она вот тут [колдунья] ребёнок поплачет, поплачет, чужаеца, а она в подпольные двери, ну у ково есть, дак она вот возьмёт ребёнка, на подпольной двери повалит, но*, в одеяльце-то, и сама шагает три раза: ""Чем мать родила, тем мать лечила"", вот туда шагнёшь, опять оттуда, опять: ""Чем мать родила, тем мать лечила"", туда и третий раз, так вот.",f,,,,m,f,f,f,62.0,62.0
"[А если ребёнок захворал?] 
Ну, к бабушкам водили. [Рассказывает, как на Урале заболел сын.] На конях поехали, приехали к этой бабушке: ""Бабушка Катя, уот так и так, у нас уот парень[нрзб.], никак, ничово, плачет всё по ночам"". Она и взяла растительново масла, чово и в бутылочку маленькую налила, чево-то уж, наверно, наговорила, ево всево смазала маслом этим растительным, и нам ещё там осталось, ещё отдала, говорит: ""Ежайте домой, ни с кем, кто встретитца, ни с кем ни говорите, не здоровайтесь, ни с кем не говорите, приежайте домой, тихо в избу зайдите"". Ну ладно. Мы никоуо не встретили, домой пришли, уот перед тем, как спать, ещё взяли ево ваткой и этой, маслицем всево ево вытерли, и потом лучше стало парню.",f,,,,m,f,,,27.25,18.166666666666668
"[Как детей лечили дома?]
Дак шо эти, хто как мы. Хто прогревал, хто колдовал.
 [Как колдовали?]
Дак ведь бывает, шо вот позовут бабушку, дак там маленький ребёнок, дак как это грыжа или как. Ну вот. Прийдёт бабушка, чо пошепчет, да помоет тут кругом пупка и лучше будто и зауснёт, и всё.",f,,,,m,f,,,16.0,9.6
"[Рассказ о бабушке, лечившей экзему].
Камушки била искры летели прямо на эти на места на больные, говорит, запомнила: какие-то у ней камни и слова...",f,,,,f,f,,,19.0,9.5
"В парихмахерскую пойдёшь, то там, конешно, выбросят [волосы]. А если дома постригает, то забери. В парикмахерской, между прочим, можно заявить. Садись, скажи, чтобы она обмела чужие волосы. Уносить с собой волоса.",f,,,,f,f,,,31.0,6.2
"В баянну-то шли, а у одной у девушки и всё тут [показывает на локоть, где у девушки было что-то вроде экземы]. Я подумала, да у меня вскочило на это место. И к врачам ходила, и везде ходила. А потом бабушки сказали: ""Намачишь сметаной, сметаной и дай собаке лизать"". Сметаной намазывать стала, стала давать собаке лизать- у ме*ня всё прошло. Так и ей [показывает на Машу, у которой руки в экземе], надо руки сме*таной мазать и собаке лизать давать. У собаки-та двенацать почти болестней может лечить. Собаке, чтобы лизала- надо маслом или им намазать, У меня-то, сохрани Бог, всё сошло. И клюквой мазала.",f,,,,f,f,,,86.0,9.555555555555555
"Сидим обедаем или чай пьём, чай пьём, дак: ""Приятно кушать"", а обедаем, дак: ""Хлеб да соль"" [говорим], а у староверов, ежели придёшь, а они сидят за столом: ""[нрзб.]""- можно говорить: ""Ангел затрапезной"".",f,,,,m,f,,,11.0,11.0
Это три каких-нибудь святых - Троица,f,,,,f,f,,,5.0,5.0
"Ну, вот я слыхала: ""Мати Мария, Мати Божья, Богородица, не сон тебе шавелся, наяву чудеса творились. Она вот Ему говорила: Господи, будто бы тебя, Господи, как роспяли, на кресте роспяли, желчью напоили..."" Я забыла уж всё... [Может быть, мы слова перепишем?] Не надо, Господа Бога зачем шевелить... Златой крест на груди одевавши, как-то там ответил ему: ""Мати Мария, Матерь Божья Богородица, не сон тебе шавился, наяву чудеса творились. Мати Мария, Мати Божья, Богородица, кто этот сон знает, перед смертью своей прочитает, пойдут ангелы с небес, вынут душу из телес, снесут к Исааке, к Аврааме, к самому Богу нашему на престол. Вот, это конец я запомнила, а целого не помню.",f,,,,f,f,,,52.0,14.857142857142858
"Николай цюдотворец иконка спасает человека ото всяких бед. Помолись Господу Богу, Николай Цюдотворец, он тебя спасёт ото всякой беды. В реке будешь тонуть, дак он тебя спасёт, крикни: ""Николай Цюдотворец, спаси меня!""- он тя спасёт, ты не потонёшь. Он не покажется вам, как спасёт. Николай Цюдотворец батюшко",f,,,,f,f,,,52.0,8.666666666666666
"Она [соседка] с ле*сным зналася. [А если в лесу заблудишься, что делать?] Так вот, ходишь-ходишь. Кружили тут вот с одной, ходили. Ходим, дак ходим и опять на то ме*сто и придём. Я говорю: ""Глянь-ка: опять на то место и пришли"". Я говорю так: ""Пётр [Флор] да Лавёр на дорожку навёл, а [...] Пётр да Павел от ходьбы избавил"". И вышли на дорогу. Она [соседка] меня научила.",f,,,,f,f,m,f,16.666666666666668,5.555555555555555
"Ложишься: ""Господи, спаси и сохрани на тёмну долгу ноченьку",f,,,,f,f,,,10.0,10.0
"Там колокольня была, тоже вот сенокос, смотрим: горит, горит, тожо, как снаряд попал, хруснул и всё. [Загорелась] от Божьего дару. Кумпол был круглый, жестянкой обитой. Попал там снаряд или чево там [молния], разбило купол, а дерево загорелось. Купол сгорел. Крест совсем упал, в реке лежал, потом его куда-то увезли.",m,,,,m,m,,,47.0,7.833333333333333
"Церковь разворотили тут и всё. [Кто?] А знай кто, кто разворочал, так тех нет в живых. [Бог наказал?] Бог наказал.",f,,,,f,f,,,5.666666666666667,5.666666666666667
"В начале кино катили [в церкви]. Это первое кино, когда ещё немое, я помню первое кино ""Дубровский"" смотрели и это кино - у нас движок не завёлся в первый день, билеты-то все продали, никак не могли завести движок всё там... И потом, значит, это грит, ну, дак в церкви кино, дак мне мама грит, в церкви кино, дак у вас потому там и не завелось ничево, пришли, ну, на второй-то день завелось, опять все ходили. А потом больше в церкви не стали катить, все старухи-то стали говорить, что это грех, грех, и стали в гумне катить.",f,,,,f,f,,,94.0,23.5
"[Что такое причастие?] Ну, водичка какая-то, говорят, святая водичка.",f,,,,f,f,,,3.0,6.0
"[Пожертвование] У меня у дочки у старшей глаза заболели, а церковь у нас уже не работала, уже всё тут порушено было, а в Тихманьге ещё работала церква. У меня свекровь пошла в церкву, вот я ей говорю: ""Бабушка, снеси-ка вот полотенце, пускай там служат, иконы, дак всё. А тут Пресвятая Богородица, дак тут такое есть место, что весят. Дак вот приносят, что хочешь в церкву подарить, дак у нас такой вот... Пресвятая Богородица, а тут такая, как бы, хоть бы [нрзб.] эта штука. И вот на эту штуку и положишь, повесишь, что тебе Господу Богу охота подарить. Я сама в церкву, у меня было три атласных фартука, и я в церкву всё снесла, а потом увидела, что тумбочка приколочена моим фартуком, и мне их были, такие, ну, как жёлтые нашивки, и вот тут кресты сделаны. Вот. Было, вот я тоже в церкву вот это носила. Полотенце это в церкву, она [свекровь] и говорит: ""Анна, твоим-то полотенцем иконы обтирали, я видела. Бог дал, и Женюшка поправица"".[Не поправилась]",f,,,,f,f,,,42.0,12.0
"[За каким плечом стоит ангел-хранитель?] Дак стоит уж он за правым плечом.
[А за левым?] [нрзб.] беси или хто их знает.",f,,,,f,m,,,3.0,6.0
"[Купались в Крещение?] А как же, купались... Вот у меня тётушка была староверка, она Богу веровала. У неё стара вера была, это называется: все православные - мирские, а тут стара вера была, они соблюдали свою чашку, миску и ложку и вместе они не питались... Женщины были староверы и мужчины тоже веровали. И пытались никогда не омирщиниться, если они в общей чашке там поедят - это уже тут великий грех считался. [На Святки] они только молились.",f,,,,f,f,,,34.5,11.5
"У меня мама набожная была, она всё говорила: старообрядческа-то вера, эти все глупости на Святках, как их называли... Святки даётся, по новому-то закону, проводить в чистоте, в божественной молитве, в чтении божественного Святого Писания, а тут всяки превратят вон в чево. Делать милость людям, посетить больных - вот это Святая неделя, по Новому Завету. А все эти глупости, всё превращёно на Святой неделе - это не по закону Божьему.",f,,,,f,f,,,69.0,17.25
"Житники, и овсяники, и ковриги называлися.",f,,,,f,f,,,6.0,6.0
"Русский хлеб у нас. Если нету у меня дрождей, я оставляю кислого немножко... Утром замешаю, квашню... и испекётся у меня хорошое. Это раньше пекла такое.",f,,,,f,f,,,26.0,5.2
"Жито [ячмень] это хорошее самое [зерно]. Житники пекли вот из зерна. Коврига вот такая, круглая.",f,,,,f,f,,,13.0,4.333333333333333
"Да всяко назваются, ну как: из манки, дак манник, ну дальше пироги дак клитки всяки... Да много названий. [К праздникам] пекли ржаной хлеб, большие... Накануне праздника.",unk,,,,f,f,,,24.0,6.0
"Хлеб раньше называли житники, пекли из житной муки. Ячмень мололи.",f,,,,f,f,,,10.0,5.0
"Тетёрки делали, да, раньше стряпали. Стряпают, если церковные, дак они стряпаются не такие тетёрки ну и не называюца. Раньше изо ржаной муки стряпали эти тетёрки. На воде замешивали тесто, потом в чугунчик кидали, обваривали, да в печку клали. Не знаю, в какие [дни] кто как задумает печь. Не на какой-то празник. Стряпали разные. Там рипники с брюквой, толченики с горохом.Это всё такие пироги были.",f,,,,m,f,,,67.0,7.444444444444445
"Смое хорошее угощение, как какие гости, они пекут тетёрки. В Орхангело и там вот, в Ошевенске.",f,,,,m,m,,,17.0,8.5
